puzzle_id,answer,seed,puzzle_source,player_model,runs,mean_score,median_score,score_std_dev,p10_score,p25_score,p75_score,p90_score,gold_rate,silver_rate,bronze_rate,no_medal_rate,hexalink_rate,mean_hexalink_turn,completion_rate,mean_turns_used,mean_rows_completed,mean_columns_completed,mean_invalid_attempts,mean_hint_use,mean_valid_words,simulation_ms
AFTERTASTE#1,AFTERTASTE,810009,M7A3_EXISTING_M6_GRID,CASUAL,100,87.08,87,11.796832308940079,72,80,95,104,0.13,0.8,0.07,0,0.56,1.8928571428571428,1,6,0.14,0,0.23,0.26,5.77,128.48589
AFTERTASTE#1,AFTERTASTE,810009,M7A3_EXISTING_M6_GRID,REGULAR,100,113.92,112,9.869532753260245,104,109,120,125,0.94,0.06,0,0,0.84,1.4642857142857142,1,6,0.62,0.06,0.07,0.38,5.93,247.605159
AFTERTASTE#1,AFTERTASTE,810009,M7A3_EXISTING_M6_GRID,STRONG,100,123.14,123,8.161278370847587,112,118,130,130,1,0,0,0,0.97,1.2371134020618557,1,6,0.85,0.07,0.03,0.56,5.97,358.177013
AFTERTASTE#1,AFTERTASTE,810009,M7A3_EXISTING_M6_GRID,EXPERT,100,127.95,127,7.85265187144709,118,123,130,140,1,0,0,0,1,1,1,6,0.92,0.14,0.01,0.72,5.99,491.860218
AFTERTASTE#1,AFTERTASTE,810009,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
AFFORDABLE#1,AFFORDABLE,810010,M7A3_EXISTING_M6_GRID,CASUAL,100,93.28,95,11.935923199579605,77,85,102,107,0.32,0.66,0.02,0,0.63,2.111111111111111,1,6,0.2,0.01,0.29,0.12,5.71,151.403083
AFFORDABLE#1,AFFORDABLE,810010,M7A3_EXISTING_M6_GRID,REGULAR,100,117.57,117,12.004422585704054,100,110,122,133,0.94,0.06,0,0,0.9,1.7555555555555555,1,6,0.55,0.15,0.14,0.49,5.86,336.767157
AFFORDABLE#1,AFFORDABLE,810010,M7A3_EXISTING_M6_GRID,STRONG,100,125.93,125,8.56850587496402,115,120,132,137,1,0,0,0,0.98,1.2040816326530612,1,6,1,0.08,0.05,0.68,5.94,523.873773
AFFORDABLE#1,AFFORDABLE,810010,M7A3_EXISTING_M6_GRID,EXPERT,100,129.62,130,7.693339635520763,121,125,135,140,1,0,0,0,1,1.01,1,6,1.2,0.11,0.03,0.69,5.97,793.042127
AFFORDABLE#1,AFFORDABLE,810010,M7A3_EXISTING_M6_GRID,ORACLE,1,110,110,0,110,110,110,110,1,0,0,0,1,1,0,5,0,0,0,0,5,0
WATERMELON#2,WATERMELON,910001,M7A3_EXISTING_M6_GRID,CASUAL,100,80.67,82,12.416228383560254,65,73,87,97,0.08,0.74,0.18,0,0.02,3,1,6,0.04,0.05,0.25,0.26,5.75,144.296437
